,Source_Name,Flux1000,Unc_Flux1000,Energy_Flux100,Unc_Energy_Flux100,SpectrumType,PL_Index,Unc_PL_Index,CLASS,ASSOC1,RA_Counterpart,DEC_Counterpart,Unc_Counterpart,Redshift,SED_class,nu_syn,nuFnu_syn,Variability_Index,Frac_Variability,Unc_Frac_Variability,Highest_energy
69,4FGL J0107.4+0334,1.821771e-10,3.270598e-11,2.7368266e-12,4.5841483e-13,PowerLaw,2.3538492,0.16291338,bll,PMN J0107+0333,16.869047164916992,3.5635008811950684,8.6e-07,-inf,LSP,22908676100000.0,2.3889826e-13,34.48473,0.78167397,0.26892072,16.8265
70,4FGL J0109.1+1815,7.0183054e-10,5.128061e-11,7.2546045e-12,6.120706e-13,PowerLaw,2.1103554,0.053128954,bll,MG1 J010908+1816,17.2840702583,18.2687503417,2.0000000233721948e-07,0.145,ISP,239883285000000.0,3.0269552e-12,8.637887,0.0,10.0,78.5865
71,4FGL J0110.0-4019,1.6026658e-10,2.7692543e-11,2.2808123e-12,4.257252e-13,PowerLaw,1.8152498,0.11310834,bll,RBS 0158,17.4857913958,-40.3475150889,3.099999958067201e-06,0.313,HSP,2.01836641e+16,1.596526e-12,19.406181,0.49937662,0.25789663,35.6196
72,4FGL J0110.2+4151,6.894091e-11,2.655024e-11,2.5788243e-11,1.1205742e-12,PowerLaw,1.6552483,0.19628614,bll,6C B010709.9+413321,17.520050048828125,41.83076095581055,1.5e-06,0.096,HSP,3890451440000000.0,5.355759e-12,14.97098,0.0,10.0,126.401
73,4FGL J0110.7-1254,2.1811285e-10,3.6239487e-11,2.4563418e-12,4.57931e-13,PowerLaw,2.0305126,0.120829165,bll,1RXS J011050.0-125455,17.7083447208,-12.9177348917,1.3999999737279722e-06,0.234,HSP,9.9999998e+16,1.9376306e-12,7.6009054,0.0,10.0,93.0724
74,4FGL J0111.4+0534,1.04750014e-10,3.0058216e-11,1.6266978e-12,3.9242296e-13,PowerLaw,1.916776,0.19025628,bll,1RXS J011130.5+053612,17.8758351583,5.60755374167,4.199999921183917e-07,0.346,ISP,301995156000000.0,5.6277655e-13,14.583126,0.0,10.0,37.8643
75,4FGL J0112.1+2245,7.98297e-09,1.4613598e-10,7.514683e-11,1.8163998e-12,LogParabola,2.0853996,0.011168407,BLL,S2 0109+22,18.0242696583,22.7441073306,6.799999852091787e-08,0.265,LSP,64268771000000.0,1.5831315e-11,423.79636,0.29828748,0.0718081,119.121
76,4FGL J0112.6-3158,8.3154934e-11,2.3525711e-11,3.4925918e-12,5.180368e-13,PowerLaw,1.9291226,0.184427,bll,RX J011232.8-320140,18.136499404907227,-32.028358459472656,0.0045,-inf,ISP,371535240000000.0,2.2263323e-13,11.83069,0.0,10.0,-inf
77,4FGL J0112.8-7506,3.2171016e-10,3.5071678e-11,2.0379143e-12,3.7347602e-13,PowerLaw,2.0239904,0.085119165,bll,2MASS J01123146-7506179,18.1307129875,-75.1049727278,8.50000014906982e-06,-inf,ISP,555904261000000.0,8.4199596e-13,8.235726,0.0,10.0,11.3354
78,4FGL J0113.7+0225,2.3533345e-10,3.7879488e-11,3.148181e-12,7.387092e-13,PowerLaw,2.4827306,0.14875033,bll,UGC 773,18.4297706375,2.37147675278,7.500000265281416e-08,0.047,LSP,19054607700000.0,1.648318e-12,14.246181,0.3359937,0.23235354,10.8829
79,4FGL J0114.8+1326,1.1094115e-09,6.067821e-11,1.2782857e-11,7.5802537e-13,PowerLaw,2.106443,0.040510163,bll,GB6 J0114+1325,18.719903725,13.4270916861,2.399999914359796e-07,0.583,ISP,630957340000000.0,2.0359777e-12,48.33648,0.32016727,0.09377874,98.9298
80,4FGL J0114.9-3400,1.300257e-10,2.9589196e-11,1.7418202e-12,4.1066266e-13,PowerLaw,1.7209529,0.1389324,bll,1RXS J011501.3-340008,18.757169723510746,-34.00756072998047,0.0044999998062849,0.48,ISP,331131107000000.0,3.5876328e-13,16.479568,0.6211402,0.3343096,69.3693
